name,location,date,review,rating
Jungyoon Jenny,"Yorba Linda, CA","Reviewed Feb. 19, 2021","I bought $4000 LG refrigerator LRMDC2306S in November 2020. It started giving me a problem with ice making and cooling from mid January, even less than 2 months. Then it completely stopped working on 2/7/2021. I had to throw so much food on Super Bowl Sunday morning. The CL E error code on the control panel turned out to be an issue with a compressor. The part is even backordered for 2 months. I requested a replacement. I didn’t want to deal with the repair since it is definitely a lemon with a major defect. This appliance is not reliable. It will give the same problem over and over even with the replacement of the compressor. Who wants to exchange a compressor at a brand new $4000 worth refrigerator?! ",1
Lisa,"Tulsa, OK","Reviewed Feb. 19, 2021",Just purchased 3 weeks ago as last one held on till its bitter end after 16 years. This time no French door stuff. They waste space. I have top fridge and spacious bottom drawer freezer which helps as my chest freezer is on last leg after 18 years. I have been looking at this particular fridge for a couple years doing a bit of brand research. Very happy. Keeps cold without freezing my lettuce!,5
Laura,"Raymond, MS","Reviewed Feb. 18, 2021",We looked for a stainless steel refrigerator. We compared all brands at our local Home Depot. The lg was the best priced for the value. The space was used to maximum capacity with shelving and actual functional drawers that can be configured to meet your needs.,5
Linda,"Lexington, Virginia","Reviewed Feb. 17, 2021",I bought a side by side LG and it's been A problems with the ice maker every month plus if you store items on the left side everything freezes overnight.. this was a big mistake.. I walk into a sale and got hosed.. I have had work orders for the past 3 years on this appliance.. nothing they can do... I just bought the wrong name brand... big mistake! Please read up on your appliance before you buy.. or you will be stuck as hard as I have been stuck.. I have lost more food items than anyone could believe.. please do not buy any LG Appliances.,5
Sandra,"Cincinnati, OH","Reviewed Feb. 16, 2021","I brought a LG refrigerator in 2018. It stopped cooling after 8 months. It took LG 5 months and 4 attempts to repair before they decide it could not be repaired. So they replace it with another new refrigerator in Dec, 2020. Now here we are 13 months later Feb. 13 2021. The replacement stop cooling. They schedule an appt for Feb. 23, 10 days out and they are going to have to try at least 3 times to repair it before they can replace it. DON'T BUY LG REFRIGERATORS. THEY ARE JUNK. LG need to stop working on the technology and work on the quality of their products. What the need of a smart refrigerator that don't know how to keep cooling which is the main object of a refrigerator.",1
Reverend Dr Ellen,"Treadwell, NY","Reviewed Feb. 16, 2021",Our fridge has the freezer on the bottom. It saves my back not to have to bend down to look in the fridge! We also like that it’s small and compact and doesn’t take up much space. The three shelves in the main body of the fridge serve us very well. And the shelves in the door are varying sizes and are all removable for cleaning!,5
Mark,"Georgetown, KY","Reviewed Feb. 15, 2021",2 compressor failures. One after 2 years and a second one after 5 years. The first repair took 7 days. The current repair is going to take >10 days. The failures have resulted in $900 loss in food. LG indicates this is the best they can do.,3
Henry,"Las Vegas, NV","Reviewed Feb. 15, 2021","I think that LG refrigerators are the Bomb! I have had my refrigerator for 10 years without any problems. I have plenty of room to store fresh veggies and deli meats. Plus I have two drawers for freezer items. One of the drawers, the middle freezer drawer, I can put things in, like cakes or pies that need to be kept in a freezer part. Plus the bottom has two sections for other meat items that need to stay in a freezer part.",5
Daynna,"Wake County, NC","Reviewed Feb. 14, 2021","I love the LG refrigerators. They are stainless steel, lots of shelving, space is plentiful, and can adjust temperatures for different parts (sliding drawers/fruits/vegetables/etc). One day, I hope to purchase the latest series.",5
Carolyn,"Odenton, MD","Reviewed Feb. 13, 2021","I purchased a LG refrigerator in 2018 and it has been a nightmare. I have had to replace the vegetable bin several times, and it still not fixed. Makes a lot of noise.  I see why they would only warrant it for 3 years instead of 5 because they knew it was TROUBLE!!",1
Kim,"Harvey, LA","Reviewed Feb. 13, 2021","I purchased an LG refrigerator (LSXS26326S-00) in 2015. This year January 11 it stopped cooling. I had a repair man come out to check it. We were told it was the compressor, which would run about $550 labor and $350 for the new compressor (also $145 diagnostic fee). The compressor was ordered and the repairs were done. It was repaired on a Thursday afternoon and stopped working by Friday evening. The repair man came out again and notified us the the BRAND NEW compressor was faulty. He told us this was common with LG parts and this was part of a class action lawsuit.",1
gary,"Osprey, FL","Reviewed Feb. 13, 2021","2020 purchased a large LG french door fridge. We have a house water filter that also feeds the refrigerator ice maker and water dispenser. Lg does not provide nor offer for sale a ""plug "" to replace the water filter in the fridge. I am forced to replace the filter on a regular basis as no water filter should be used for eternity, unsafe. Lg when informed of the problem took many months to respond that they do not offer a plug. Other makes do offer plugs. LG is holding a ""gun to our heads"" to force us to buy their filters. I would never buy an LG product again.",1
Rosemary,"Warwick, RI","Reviewed Feb. 13, 2021",I actually bought the same model. I really enjoy the sliding shelves and that the ice maker is in the door and not taking up space in the refrigerator itself. This newer model now has two ice maker and in my home that will really come in handy.,4
Jeffrey,"Lawrence, NY","Reviewed Feb. 12, 2021","I had some initial problems with the unit as two doors arrived damaged. It took some time, and numerous follow-up calls, but the doors were replace and the fridge looks and works great. Let's hope it lasts.",5
Aubrey,"Kennewick, WA","Reviewed Feb. 11, 2021","We purchased the top of the line LG refrigerator in 2015. It broke down with a HUGE $1250 compressor issue in June of 2020. There is a lawsuit on them for SHOTTY compressors. Our refrigerators model was in the lawsuit. LG **ed us for 6 months, telling us they would send out a technician to fix it. THEY NEVER DID. And then had the audacity to tell us they’d only give $800 in a depreciated value. THAT DOESNT FIX SAID REFRIGERATOR OR GET US A SAME MODEL DIFFERENT ONE. Even a 2015 would STILL be $1600. This company jips its clients and LIES to their faces in order to avoid this lawsuit. They are a terrible company and don’t deserve to exist. We will NEVER buy another LG product. PERIOD.",1
Ana,"Hialeah, FL","Reviewed Feb. 11, 2021","LG refrigerators are not the same anymore, quality is not good, drawers break easily, it has cracks inside, I've already repaired it once, and it is only 4 years old. Quality is not good. I spent $250 in repairs, the screen showing the temperature does not show correct numbers anymore, and the technician told me that we cannot repair that unless we pay big money for it which doesn't make sense on top of the $250 we already paid.",1
Trina,"Murrieta, CA","Reviewed Feb. 11, 2021","I bought into the hype that LG is such an awesome consumer oriented company,? I find they are just like every other company. We purchased a refrigerator and 1 month after purchase the condenser went out, the mechanism on the ice maker sticks shelving is slipping. The call for assistance led to some guy from who knows where, (LG) no identifying uniform, ID, saying “they know they use subpar products"".",3
Darin,"Heber City, UT","Reviewed Feb. 10, 2021","Seems like from the very beginning we had issues. The water filters don’t last as long as they should, the main fridge door hinge got bent (somehow)? We had a serviceman come out to inspect. He wanted 300.00$ to replace a 50$ part. No way! I ended up getting small magnets to try and pull the door gasket closed, this kinda worked at best. And now, yesterday the whole fridge cooling system died? I pulled the fridge out, cleaned the coils, hoping for the best. This did nothing. Unfortunately service calls are out almost a month. We need it fixed now!! Food is going bad. We ended up buying a new GE Profile fridge. We’ll never buy anything LG again!!!",1
Linda,"Anchorage, AK","Reviewed Feb. 5, 2021","DO NOT BUY AN LG REFRIGERATOR! I bought a Kenmore 71312, French doors, bottom freezer. Delivered Dec. 2018. Stopped cooling Feb. 1, 2021. 2 years 2 mos. ANOTHER DEFECTIVE LINEAR COMPRESSOR! LG just settled a huge class action lawsuit 1.6 mllion victims. Bentley v LG Electronics, There's a Facebook page, thousands of posts, “LG Refrigerators – Life is NOT GOOD."" Read the class action lawsuit. It will tell you everything you need to know. BENTLEY v. LG ELECTRONICS U.S.A., INC. (2:19-cv-13554). **.",1
luis,"Houston, TX","Reviewed Feb. 4, 2021",DO NOT BUY LG BRAND. CUSTOMER SERVICE IS THE WORST. RUDE NOT POLITE. I BOUGHT A REFRIGERATOR AND THE DOOR HAS ISSUES. TOOK 1 month replace it. I did not receive compensation for expenses. It has condensation.,1
Alex,"Fraser, MI","Reviewed Feb. 3, 2021","On June 10th, 2020, I ordered a new LG fridge to replace my old one. However, on September 10th, 2020, 3 months after I received it, it stopped cooling. I had to throw away all the food from the Fridge and the freezer (in the middle of the COVID-19 crisis). I called LG customer service, and after so much back and forth I got an appointment scheduled for service on Oct 1st. The technician arrived (I had to take a day off) and replaced the electrical board but the fridge did not work so he came back the next day (I had to take another day off) and replaced the compressor and the unit worked but only for 3 more months. Sunday, Jan 10th, 2021 I woke up to a burning smell coming out of the fridge. I checked the food and it all was warm in the fridge and melted in the freezer. I had to throw all of it away a second time.",1
Gaye,"Kokomo, IN","Reviewed Feb. 1, 2021","We bought an LG French Door refrigerator in May of 2018. On Dec. 22, 2020 it quit cooling. I called LG customer service and was told they could get a repair person to us on Feb. 6th. That was 15 days after it quit working. Repair person showed up on Jan. 6 and said compressor was bad and he replaced it. When he left he said to give it 24 hours to cool to set temperature. We set refrigerator temp on 38 and freezer on 0. Thirty hours later refrigerator was only at 48 and freezer was at 34.",1
Gary,"Durand, MI","Reviewed Jan. 30, 2021",Our 7 year old LG french door $2500. refrigerator quit cooling. After weeks of talking with LG through phone and emails they offered to replace part but not for the labor (which is EXPENSIVE). Plus nothing for the $225. worth of food we lost. They lost a class action suit on this problem once but mine not covered. Bought electric stove at same time and had to have it repaired 3 times. Were told not to use the self-clean as it got too hot and burned up wiring.,5
Jean,"Austin, TX","Reviewed Jan. 29, 2021","My LG refrigerator started making a different sound about 3 months ago. Now, my LG refrigerator's compressor died at 3.5 years old, with all of the contents spoiled and lost. It's been going on 2 weeks to get LG's attention on this matter. This is so un-American to have a refrigerator manufacturer NOT back up their product! Model LFXS27466S. My service technician is all ready to repair it, but processing the authorization letter from LG is stagnant. It appears that ""obstructing progress"" with excuses is common from LG, making consumers so frustrated that they give up.",1
Jeremy,"Fort Myers, FL","Reviewed Jan. 29, 2021","We bought this unit in OCT 2017 since then it has failed twice and cost 198.00 in diagnostics and 1000.00 on lost food! In May of 2020 in the middle of the pandemic food shortage it quit cooling for four days, then magically started working again then in JAN 2021 it stopped cooling again and today I'm told that it has a gas leak and that has leak are common on these LG units and to avoid all LG and Samsung refrigerators. Not at all what I was expecting from a very expensive fridge from a top name brand company. Never again. The was not my first but will be my last LG product unless they do something for me. I'll be contacting them tomorrow.",1
Keti,"Saint Augustine, FL","Reviewed Jan. 26, 2021","Purchased LG fridge June 26, 2017. It stopped cooling and freezing on 1/26/19. Compressor was replaced on 1/30/19. Technician mentioned that LG compressors have high rate of failure. Second failure occurred 12/27/20. Technician arrived on 1/5/21 with compressor. Could not fix it because he needed additional parts. Returned on 1/12/21 and replaced compressor, condenser and dryer. It stopped working again on 1/19/21. Leaked water all over the floor. Earliest appointment is for 1/28/21, which is probably to evaluate the problem and order parts with further delays. ",1
Alex,"San Dimas, CA","Reviewed Jan. 23, 2021","We bought the refrigerator in Feb 2020. A few months later, the ice maker stopped working. Service guy had to come back 5 times to finally fix it. For some reason, the model we have was built with a special ice maker. Last month, we started hearing a loud humming sound. When you open any door, it will stop then starts after you close the door. We called service and they did a ""smart diagnosis"" via phone and said it looks like I have an ice build-up by the fan and I need to defrost the refrigerator for 8 hours. Defrosted it and after a week, we got an FF error code on the ref. We are defrosting again and see what happens. Never had this problem with a refrigerator before. Hope this get fixed right away.",1
Michael,"Brighton, CO","Reviewed Jan. 22, 2021","We purchased Model LFXS30726S in late 2015. About a month ago we came home to find water all over the floor and the fridge had stopped being cold. I called LG the following day as it appeared that we had a compressor stop working and cooling the fridge. The compressor has a 10 Year Warranty on it, and LG has had known issues with this particular compressor that they used then because there is a class action lawsuit about it. Anyways, I call LG the next day and they tell me that it will be 15 days...YES over 2 weeks before someone can come even look at the fridge!! Not repair it, just look at it and order parts. Parts were going to be an additional 3-4 days I was told. I said that was unacceptable to go without our fridge with a family of 5 living here. ",1
Janice,"Santa Barbara, CA","Reviewed Jan. 15, 2021","I purchased my LG refrigerator in February 2017. (Note: it is not yet 3 years old.) I absolutely love the refrigerator's features: The 3 drawers in the bottom freezer, the ice/water dispenser and maker in the door, the large, wide door shelves, the separate crisper drawer. (BTW, I still love their design.) The problems with this refrigerator began 2 years after purchasing it. Since then, this less-than-3-year-old refrigerator has completely stopped cooling 3 separate times. We have replaced all the parts in the entire cooling system: the compressor, the evaporator, the filter dryer, and a service valve. It has cost us many hundreds of dollars in labor costs, parts, and food loss. It just broke on us for the last time. We are chucking this lemon and buying a new ""Not-LG"" refrigerator.",1
Lauren,"Ellwood City, PA","Reviewed Jan. 15, 2021","We bought our LG Refrigerator in 2015 when we built our new house. We spent over 2k on this new refrigerator. It was fine until July 2019. That's when it suddenly stopped working. LG sent out a service tech to repair the fridge. He replaced the compressor and other interior parts the first time. This did not fix the fridge. He came back out a second time (about a week later) and replaced the fan in the upper part of the fridge. It finally worked. Fast forward to May 2020... The fridge completely stops working again. We unplugged it and left it unplugged for a few hours. After plugging it back in, it started working again.  ",1
Brett,"Langley, BC","Reviewed Jan. 14, 2021","Just under two years, both refrigerator & freezer stopped cooling. Thankfully we bought the extended warranty. It will be around 2 weeks before this fridge will be running again. Techs need to come out a diagnosis issue before bringing parts. Waiting a week for someone to even come look at this is crazy. Reading on the internet this is a very common issue with LG fridges. Compressors failing after 2 years. I really regret buying this fridge when we renoed the kitchen. My old one is in the garage with zero issues after 12 years.",1
Robert,"Coinjock, NC","Reviewed Jan. 12, 2021","I purchased a new LG French door refrigerator with two bottom drawers as the freezer 2 years ago 1/6/2019 brand new. Prior to Christmas 2020, the unit quit cooling completely with a dh-f code. All the food had to be thrown out. I have contacted LG 6 times, the best they can do is late Feb to repair the unit. That is unacceptable and I will not recommend LG, they have a known track record of refrigerator problems based on my search of reviews. I have never owned a refrigerator that didn’t last at least 10 years. Shame on LG for poor products and poor customer service.",1
Jessica,"Livermore, CA","Reviewed Jan. 8, 2021","Have owned three LG refrigerators, all ended up throwing away after multiple repairs. All came in new, but either began leaking (first two) or not cooling (compressor) right after warranty expired. It cost a lot of money and time to deal with the headache. No more LG!",1
Shirley,"Red Deer, AB","Reviewed Jan. 7, 2021","ALL appliances purchased June - Aug 2020 (they arrived at different times). I INSISTED on getting LG appliances, as I had only known them to be a superior product. BOY was I shocked at the horrible product they have become. Our new appliances were purchased all at once. Our washer was defective from the first day and had to be replaced, our new fridge is making strange sounds and needs to be repaired (I suspect it is the compressor), and our dishwasher refuses to latch closed on a regular basis. The reviews I read now are horrible and it sickens me that I saved for years to buy new appliances that are in my opinion, garbage. As far as LG goes, run away as hard and as fast as you can! Ps: their customer service in regards to the repairs were very rude in spite of my being polite. One young guy actually hung up on me after I had to call three times for a response! HORRIBLE product, HORRIBLE service...",1
Ashley,"Rio Rancho, NM","Reviewed Jan. 4, 2021","Bought my house 1.5 ago and brand new appliances came with it including the LG refrigerator. Don’t get me wrong I LOVED this fridge at first, however December 31st my compressor went out. Called LG the next day they said a tech in the area would call us to schedule a diagnosis. Took the techs three days to call us. I won’t hold that against them because it was the holidays however the earliest they will be out here to diagnose my fridge is the 14th. That is TWO weeks without a working fridge and this is just to diagnose it.",1
brian,"Kingman, AZ","Reviewed Jan. 3, 2021","Purchased LG fridge model LFXC24726DLFXC24726D in July 2016. The FIRST FAILURE happened in July 2018. I've had 10 appointments with LG's repair facility, and 7 have been cancelled by them. My fridge has been ""repaired"" 3 times, and STILL doesn't work properly. I've lost food, been left without a fridge, and am flabbergasted that any company would let known defects off the factory floor, let alone ship them to consumers. It is criminal to sell these defective fridges and rely on repair techs to get the fridge to work...especially since their ""repair facility"" has such a lousy record of keeping appointments. I WILL NEVER BUY ANOTHER LG PRODUCT.",1
Richard,"Phoenix, AZ","Reviewed Dec. 30, 2020","Purchases an LG Refrigerator in June 2020. Refrigerator started making loud knocking noise. Reached out to Customer Service and they said they can come out on January 4th. Next day I wake up to an error code on the refrigerator and run a diagnosis through their app and tells me the fan motor needs attention, so I call back to see if I can get an earlier appointment. I am told they can cancel the first appointment and get me another appointment set up. So they do and now they are telling me they can't come out until January 5th. ",1
harry,"Miami, FL","Reviewed Dec. 29, 2020","Stopped cooling Dec 22, 2020. Purchases Apr 2018. Had 2 diagnostics. LG won't replace w/o service tech on Jan 07, 2021. Error code 22. Estimated repair cost $1000. Broken and contaminated sealed system. Same as other reviews, no satisfaction.",1
Chris,"Charlestown, RI","Reviewed Dec. 23, 2020","We purchased 4 top of the line LG appliances (refrigerator, stove, dishwasher and microwave) for our newly remodeled kitchen in 2018. Unbelievably 3 out of the 4 have had issues requiring a service call only one of which was covered by warranty. They were all manufacturer defects and not normal wear and tear. So far, repairs have cost me $550. Needless to say, I will never purchase another product from this company and hope that I have spared you from making the same mistake I did.",1
Karen,"Broomall, PA","Reviewed Dec. 22, 2020",We purchased a LG refrigerator less than 4 years ago. In the first 18 months the compressor went and they gave us a really hard time about get service because the warranty was up and the compressor has a 10 year warranty they have lousy customer service and do not care about the customer. On 12/20/2020 after being away we come home to again the second compressor gone bad. They are coming out to fix it no problem because they were sued in a class action lawsuit over their compressors but it doesn't help when you have to throw hundreds of dollars worth of food out again because a product is made so poorly. We have decided to buy another refrigerator because we don't feel comfortable relying on this lg piece of garbage. The right thing to do would be to refund us for the refrigerator and replace the hundreds of dollars worth of food we have had to trash no once but twice. I do not recommend their products to anyone.,1
Janet,"North Las Vegas, NV","Reviewed Dec. 22, 2020",I always thought LG was an awesome brand. Two year after purchasing my beautiful fridge it stops cooling. I now have lost all my food in freezer and fridge right before Christmas so it was packed and unfortunately the repair cannot be made till after Christmas and perhaps after the New Year. I am without fridge and freezer till parts come in.....When I called LG and spoke with someone about what was going on I was offered a 200 credit and I wasn't sure what that was all about but now I understand what is going on. I hardly think think that is compensation enough for food and time without a fridge. Not sure I will ever purchase LG again. Actually quite sure I won't.,1
Robbi,"Berkeley, CA","Reviewed Dec. 19, 2020","We bought an LG French door refrigerator in late 2017 and it worked without too many major issues, until October of 2020.  In October, it suddenly stopped cooling. We called LG to have repairs made under the 3 year warranty. After many delays, they found a repair company in our area to come out to do the repair. They said it was the compressor, ordered a new one and replaced it. The refrigerator still doesn't work. We have been without a refrigerator now for over two months (for a four person household). I have called LG nearly every day, for the past 6 weeks. I have been elevated to the ""Executive Service"" response team.  What a joke. I receive a different answer every time I call. ",1
Felix,"Loxahatchee, FL","Reviewed Dec. 18, 2020","My two year LG refrigerator stopped working on a Tuesday. I called LG and they stated the cooling system still under warranty and that they'd send someone to repair. As of today, Friday, I'm still waiting for them to send someone to repair it. I've contacted them each day since my first repair request and they just keep telling me they're still searching for a service repair center. So, thus far, we've the hassle of going four days without a refrigerator and apparently LG customer service don't think the issue is important enough to make it a priority. I will make sure not to purchase LG brand again.",1
Don,"Avon, IN","Reviewed Dec. 16, 2020","Since purchasing the French door LG refrigerator in January 2014 we have had over 10 service calls. Anywhere from noises, freezer icing up, food freezing in the refrigerator. We have lost hundreds of dollars in food. This is a lemon. They keep telling me they can't replace because it can be repaired.... Really? Need to contact AG's office and file a complaint.",1
Dale,"Aurora, CO","Reviewed Dec. 15, 2020","Purchased 02/2020. 1st failures occurred within 30 days. Icemaker and compressor replaced by LG tech. Worked fine until 11/21 when we found unit dead. Unplugged to check outlet. Outlet okay, plugged back in and heard a ZAP and smelled smoke. Contacted LG support and they assigned ticket and said a local company would repair. Contacted local company and they said they had refused the request from LG because LG doesn't pay them. Contacted LG again and they started a new repair ticket. I think they keep changing the ticket numbers so it appears they don't take too long to react. ",1
Srinivasan,"Irvine, CA","Reviewed Dec. 11, 2020","One of the best refrigerators money can buy. Very well designed to use every cubic inch space that’s available. When you try to store something, you approach wondering if it will fit, and it always fits in the intended space. One can never go wrong with this model from LG. My family loves it. Had to wait for 4 days to get it delivered from Costco. Well worth the wait. It’s been working very well for almost a year now. Waited this long to give my true impressions after using it.",5
Donald,"Madera, CA","Reviewed Dec. 5, 2020","Updated on 08/17/2023: This second LG replacement refrigerator that has failed again. Since we bought LG refrigerator, 2021, it's compressor has failed twice and we have been without now this year a total 6 weeks. Unacceptable. They have to order another compressor, LG knowing that we have same problem as in January 2023. Called Matt at Home Depot Madera, CA requesting a refund or new refrigerator. Check our history. LG responses back in 2020 were terrible and we had to handle ourselves, LG has very poor customer.",1
Melissa,"Littlerock, CA","Reviewed Dec. 1, 2020","I purchased an LG refrigerator. I received it on October 9th 2020. By October 26, 2020 I was already calling LG because the refrigerator was no longer working. LG sent out 3 different technicians who gave me different reports with issues with the refrigerator the compressor, the panel and issues inside of the refrigerator. I was unhappy with the product and asked LG if I could get a new refrigerator or a refund because I did not feel comfortable accepting LG to repair a product I only had for 17 days. After going back and forth and speaking to one supervisor Cecilia I was told that I needed to submit of purchase for the refrigerator to an email they provided and that someone from the refund department would contact me within 5 days.",1
Lisa,"Savage, MN","Reviewed Nov. 30, 2020","My fridge stopped cooling the night before Thanksgiving. It is still running and the light come on...but not cooling...food lost! I called our Home warranty. Technician to come out, he was there within 3 hours because they consider problems with a refrigerator and emergency. He said it is a compressor leak and there is no Freon left in the appliance. Due to this, he cannot fix so I needed to call LG because it should be under warranty.",1
Gary,"Waban, MA","Reviewed Nov. 29, 2020","I have the LG refrigerator model LFXC24726S that is identified with the common premature failure of the compressor resulting in no cooling. I inherited this refrigerator when I bought the house 2 years ago, so I had no purchase receipt. The compressor failed recently and I called LG. They said the parts are covered under 10 years from date of purchase and labor 5 years from date of purchase. Since I didn't have the purchase receipt they went by the manufacture date of Sept. 2015. The unit failed and I called on 11/12/20. Just two months over the 5 years from manufacture date. They charged $125 on the phone for service call and another $250 for labor it took to replace the part(which was covered under warranty) to get their fail refrigerator up and running. The frustrating aspect to me is the logic that after large consumer appliance product is manufactured it doesn't get to the end user the next week.",1
Damon,"Chattanooga, TN","Reviewed Nov. 27, 2020","Many LG Models with the Linear Compressor have failed and settlement to a Class-Action Lawsuit has been reached. But, any compensation will pale to the hassle and cost of your refrigerator failure. Here is my experience: 11/17/20 - My LG refrigerator stopped cooling. It is 3 years old and still under warranty. 11/19/20 - contacted LG and requested service under the warranty. LG contacted a service company and set an appointment for Monday 11/23/20. 11/20/20 - The service company called to inform that the service technician would not come until Tuesday - 11/24/20. ",1
Mary,"Melbourne, Other","Reviewed Nov. 25, 2020","Water dispenser has scratches from usage after less than 12 months of purchase. (Am very cautious when using & cleaning.) Advised not under warranty, due to wear & tear?? Purchasing an expensive fridge One would expect the component to be fit for its purpose. Dispenser has failed to meet requirement as has LG.",1
Steve,"Florence, AZ","Reviewed Nov. 24, 2020","If I can reach out to one person to keep them from making the same mistake and buying a $5000.00 kitchen full of LG paperweights. The fridge has gone out twice. The icemaker leaks, the freezer frosts up, handle broken, and freezer door off track.. The split oven doesn't keep temp. Will burn everything if you don't watch it. The dishwasher and microwave is ok so far. If you have a LG linear compressor fridge do not stock it. Never know when it will quit. So disappointing after saving for so long to afford a new kitchen and end up with scrap metal.",1
James,"Bedford, NS","Reviewed Nov. 16, 2020",We recently bought our first home which had brand new LG appliances throughout the home; great! Major upgrade we thought. 2 months in and the freezer portion of the fridge has failed and the microwave has too... Only to find out we're not covered by any sort of warranty as we were not the initial purchases. Very frustrating experience after settling into our forever home. Do not buy LG for ANYTHING. Anticipating the failure of our washer and dryer as well.,1
Tracie,"New Castle, PA","Reviewed Nov. 16, 2020","Bought a beautiful $3k LG armoire fridge in Jan '16, worked great until it stopped in Sept '20. Compressor replaced, worked a week or so, failed again. LG contracts with A&E, they came back, said a clog & fixed. Worked a couple days, failed. A&E came again, ordered ANOTHER compressor and other parts, fixed again. Worked 1 day, started temp fluctuating, then quit after a couple days.",1
R,"Houston, TX","Reviewed Nov. 16, 2020","We bought our 4 door LG refrigerator in 2015 when we remodeled our home. It is by far the worst appliance purchase we have ever made. We've had the compressor fail and replaced early on, then the ice maker was replaced, then one of the glass doors cracked, and now the compressor has failed again. In both cases when the compressors failed, we have had to throw away the entire fridge full of food, which is very expensive for us. I understand that the technology in newer refrigerators may be more sensitive, and life expectancy may be less than what they used to be, but this has been an inexcusable experience with a very expensive appliance.",1
Frank,"San Ramon, CA","Reviewed Nov. 13, 2020","""Purchased an LG LFCS22520S on 12/19/15. On October 8, 2019, after only 3 years 10 months, the refrigerator and freezer stopped cooling. Checked the condenser coils and they were clean. Compressor was running, but it was not warm, the fan was running, but, the coils were not cool. All food was moved to secondary fridge, but since the freezer thawed before we noticed (located in the garage), we could only save about 30% of the food, losing about $500 of seafood, steaks, roasts, pork loin, chicken, sausage, bacon, & racks of ribs thrown out today.""  ",1
Jason,"Rutherfordton, NC","Reviewed Nov. 12, 2020","I have had an LG fridge for a few months and it has stopped cooling correctly, and the ice and water dispenser do not work. I have tried LG customer service 4 times and, on my last call, have asked to speak with a manager. They all say the same thing, promising a resolution, though nothing happens. I have been waiting for over 3 weeks to get help with my problem, but help has not come. I would purchase any other large appliance from anyone but LG, if I were you.",1
Jan,"Santa Rosa, CA","Reviewed Nov. 10, 2020","Beautiful refrigerator but....I have the black stainless and noticed peeling under the French door handles. I was told it was cosmetic and my responsibility. Then the compressor went out when not home. Lost a freezer full of meat and seafood as well as the refrigerator contents. When I contacted LG they claimed I would be responsible for third party repair. The retailer I purchased from informed me the compressor was guaranteed for 5 years! I once again contacted LG and a Tech was sent to check it. New compressor ordered and arrived the following day. Now the refrigerator is icing up behind a crisper. I was told it was not a cooling issue therefore my responsibility. Since when is over cooling not a cooling issue? I am thoroughly disgusted and disappointed since I have LG washer, dryer, range and TVs! All apparently short term purchases! Obviously MANY people are having issues! Don’t make our mistakes....Buy ANY brand but NOT LG!!",1
JT,"Circleville, OH","Reviewed Nov. 9, 2020",We purchased our top end LG refrigerator new from Lowe's in the Summer of 2015 as part of our new home build. In fact we purchased all new LG appliances for our new home based on the favorable reports at the time. All appliances have performed exceptionally well - except for the LG Refrigerator which experienced a failure of the compressor on 9/3/2020 which was reported to LG on 9/4/2020. The issue is that due to a lack of authorized LG repair facilities and the high volume of LG compressor repairs due to a systemic compressor failure on the model we had purchased (which by the way has a 10 year compressor warranty) we had to wait over a month for the compressor repair.,3
Kenneth,"Kingsport, TN","Reviewed Nov. 6, 2020","My wife purchased our new LG refrigerator (linear compressor) unit 2 years ago from Home Depot. We purchased the extended warranty, against my feelings, and am glad we did as the unit failed after only 2 years! Trying to contact LG is next to impossible. I then called the warranty service, this is also a joke as they say they can't have anyone out for over 2 weeks. This refrigerator has a class action lawsuit out on it as I find out, but LG only replaces the compressor with the same thing! ",1
Tom,"Rio Rancho, NM","Reviewed Nov. 3, 2020",Purchased top of the line LG fridge in May2020. Ice maker stopped working early August. Took 2 weeks for repairman to arrive. Said would need to replace ice maker. Part on back order. It came last week October. Replaced by repairman. Didn’t work. Repairman came back. Said needed data study and left unit in freezer for 4 days. Now they say need to replace circuit card. On order. Says if that doesn’t fix it will probably need to replace compressor. I called customer service and was told they will probably never replace the fridge. I am totally sick of this. LG is a terrible company.,1
Debra,"Asheville, NC","Reviewed Nov. 1, 2020",Since purchasing this refrigerator just a few years ago and thinking it would be great only a few months afterwards came the first compressor failure. Having to call customer service somewhere Across the Universe and get in touch with anyone who is willing to come out and fix it was a chore. Apparently most repair places do not want to work with LG because of these issues and their difficulty in compliance. And when they came out and checked it then the compressor took weeks to get there. Each time. This happened at least three more times and I think four because one time they claimed it was something else but three times it has been a compressor failure. So much so that the technician who came recently to the house actually had a compressor on his truck because he said nine times out of 10 the refrigerator has a compressor failure again and again so they are carrying them on their trucks. ,1
Elizbeth,"Vicksburg, MS","Reviewed Nov. 1, 2020",Updated on 11/12/2020: I posted a review a month ago regarding compressor failure under warranty. I originally contacted LG direct and they gave me an authorized service center. They charged $160.50 for a 10 minute service call and I am still waiting on a part month later and the labor will cost an additional $300. LG responded to my review and after several PMs they said to call them and they would pay for the labor. So I called and that is not going to happen. So I end up paying $460.50 for a known defective product!!!!,5
Joseph,"San Diego, CA","Reviewed Oct. 30, 2020","This top of the range refrigerator quit working after 3.8 years. The unit cost approx $3,000 new. LG would not compensate me for spoiled food or the removal of odors. I had to wait 3 weeks for needed parts. AVOID LG at all costs.",1
